Data from: https://www.ncsl.org/energy/state-renewable-portfolio-standards-and-goals,,,,,
State,USPS Code,Generation Portion,Generation Minimum,Capacity Portion,Capacity Minimum
Washington,WA,0.35,0,0,0
Oregon,OR,0.5,0,0,0
California,CA,0.45,0,0,0
Nevada,NV,0.35,0,0,0
Arizona,AZ,0.15,0,0,0
Colorado,CO,0.3,0,0,0
New Mexico,NM,0.4,0,0,0
Texas,TX,0,0,0,1.00E+10
Minnesota,MN,0.45,0,0,0
Missouri,MO,0.15,0,0,0
Inninois,IL,0.25,0,0,0
Michigan,MI,0.35,0,0,0
Ohio,OH,8.5,0,0,0
New York,NY,0.5,0,0,0
Pennsylvania,PA,0.18,0,0,0
Maryland,MD,0.4,0,0,0
Virginia,VA,0.25,0,0,0
North Carolina,NC,0.125,0,0,0
New Jersey,NJ,0.35,0,0,0
Delaware,DE,0.25,0,0,0
Vermont,VT,0.65,0,0,0
New Hampshire,NH,0.25,0,0,0
Massachusetts,MA,0.3,0,0,0
Connecticut,CT,0.45,0,0,0
Rhode Island,RI,0.9,0,0,0
Maine,ME,0.7,0,0,0
Hawaii,HI,0.35,0,0,0
